,X,Director,Category,Cast1,Cast2,Cast3,Duration,Rating
1181,50,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1182,2,Chris Columbus,Drama | Musical | Romance,Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,135 mins.,7
1183,4,Catherine Hardwicke,Biography | Drama | Sport,Heath Ledger,Emile Hirsch,Victor Rasuk,107 mins.,7.1
1184,11,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1185,12,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1186,15,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1187,21,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1188,23,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1189,26,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1190,28,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1191,32,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1192,40,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1193,43,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1194,48,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1195,49,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1196,1,Chris Columbus,Drama | Musical | Romance,Taye Diggs,Wilson Jermaine Heredia,Rosario Dawson,135 mins.,7
1197,3,Catherine Hardwicke,Biography | Drama | Sport,Heath Ledger,Emile Hirsch,Victor Rasuk,107 mins.,7.1
1198,10,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1199,11,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1200,14,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1201,20,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1202,22,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1203,25,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1204,27,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1205,31,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1206,39,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1207,42,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1208,47,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1209,48,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1210,2,Catherine Hardwicke,Biography | Drama | Sport,Heath Ledger,Emile Hirsch,Victor Rasuk,107 mins.,7.1
1211,9,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1212,10,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1213,13,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1214,19,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1215,21,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1216,24,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1217,26,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1218,30,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1219,38,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1220,41,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1221,46,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1222,47,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1223,1,Catherine Hardwicke,Biography | Drama | Sport,Heath Ledger,Emile Hirsch,Victor Rasuk,107 mins.,7.1
1224,8,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1225,9,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1226,12,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1227,18,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1228,20,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1229,23,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1230,25,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1231,29,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1232,37,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1233,40,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1234,45,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1235,46,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1236,7,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1237,8,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1238,11,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1239,17,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1240,19,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1241,22,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1242,24,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1243,28,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1244,36,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1245,39,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1246,44,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1247,45,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1248,6,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1249,7,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1250,10,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1251,16,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1252,18,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1253,21,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1254,23,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1255,27,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1256,35,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1257,38,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1258,43,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1259,44,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1260,5,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1261,6,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1262,9,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1263,15,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1264,17,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1265,20,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1266,22,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1267,26,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1268,34,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1269,37,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1270,42,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1271,43,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1272,4,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1273,5,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1274,8,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1275,14,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1276,16,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1277,19,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1278,21,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1279,25,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1280,33,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1281,36,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1282,41,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1283,42,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1284,50,George Clooney,Drama,David Strathairn,George Clooney,Patricia Clarkson,93 mins.,7.5
1285,3,Stephen Gaghan,Drama | Thriller,George Clooney,Matt Damon,Amanda Peet,128 mins.,7
1286,4,Bennett Miller,Biography | Crime | Drama,Philip Seymour Hoffman,Clifton Collins Jr.,Catherine Keener,114 mins.,7.4
1287,7,Fernando Meirelles,Drama | Mystery | Romance | Thriller,Ralph Fiennes,Rachel Weisz,Hubert Koundé,129 mins.,7.5
1288,13,Steve Box,Animation | Comedy | Family | Mystery,Nick Park,Peter Sallis,Helena Bonham Carter,85 mins.,7.5
1289,15,John Maybury,Drama | Horror | Mystery | Sci-Fi | Thriller,Adrien Brody,Keira Knightley,Daniel Craig,103 mins.,7.1
1290,18,David Ayer,Action | Crime | Drama | Thriller,Christian Bale,Eva Longoria,Freddy Rodríguez,116 mins.,7
1291,20,Christian Carion,Drama | History | Music | Romance | War,Diane Kruger,Benno Fürmann,Guillaume Canet,116 mins.,7.8
1292,24,Jason Reitman,Comedy | Drama,Aaron Eckhart,Cameron Bright,Maria Bello,92 mins.,7.6
1293,32,Craig Brewer,Crime | Drama | Music,Terrence Howard,Ludacris,Anthony Anderson,116 mins.,7.4
1294,35,Bill Paxton,Drama | History | Sport,Shia LaBeouf,Stephen Dillane,Elias Koteas,120 mins.,7.5
1295,40,Noah Baumbach,Comedy | Drama,Owen Kline,Jeff Daniels,Laura Linney,81 mins.,7.4
1296,41,Niki Caro,Drama,Charlize Theron,Jeremy Renner,Frances McDormand,126 mins.,7.3
1297,49,George Clooney,Drama,David Strathairn,George Clooney,Patricia Clarkson,93 mins.,7.5
1298,1,Martin Scorsese,Crime | Drama | Thriller,Leonardo DiCaprio,Matt Damon,Jack Nicholson,151 mins.,8.5
1299,3,Christopher Nolan,Drama | Mystery | Sci-Fi | Thriller,Christian Bale,Hugh Jackman,Scarlett Johansson,130 mins.,8.5
1300,4,Martin Campbell,Action | Adventure | Thriller,Daniel Craig,Eva Green,Judi Dench,144 mins.,8
1301,5,Sylvester Stallone,Drama | Sport,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,102 mins.,7.2
1302,6,Gore Verbinski,Action | Adventure | Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,151 mins.,7.3
1303,9,Zack Snyder,Action | Fantasy | War,Gerard Butler,Lena Headey,David Wenham,117 mins.,7.7
1304,11,John Lasseter,Animation | Adventure | Comedy | Family | Sport,Joe Ranft,Owen Wilson,Bonnie Hunt,117 mins.,7.2
1305,12,Nicholaus Goossen,Comedy,Allen Covert,Linda Cardellini,Shirley Jones,94 mins.,7
1306,14,Jonathan Dayton,Comedy | Drama,Valerie Faris,Steve Carell,Toni Collette,101 mins.,7.9
1307,15,Guillermo del Toro,Drama | Fantasy | War,Ivana Baquero,Ariadna Gil,Sergi López,118 mins.,8.2
1308,16,Mel Gibson,Action | Adventure | Drama | Thriller,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,139 mins.,7.8
1309,17,Florian Henckel von Donnersmarck,Drama | Thriller,Ulrich Mühe,Martina Gedeck,Sebastian Koch,137 mins.,8.5
1310,18,Spike Lee,Crime | Drama | Mystery | Thriller,Denzel Washington,Clive Owen,Jodie Foster,129 mins.,7.6
1311,21,Edward Zwick,Adventure | Drama | Thriller,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,143 mins.,8
1312,26,Alejandro González Iñárritu,Drama,Brad Pitt,Cate Blanchett,Gael García Bernal,143 mins.,7.5
1313,29,Alfonso Cuarón,Drama | Sci-Fi | Thriller,Julianne Moore,Clive Owen,Chiwetel Ejiofor,109 mins.,7.9
1314,30,Neil Burger,Drama | Mystery | Romance | Thriller,Edward Norton,Jessica Biel,Paul Giamatti,110 mins.,7.6
1315,33,Gabriele Muccino,Biography | Drama,Will Smith,Thandie Newton,Jaden Smith,117 mins.,7.9
1316,37,Larry Charles,Comedy,Sacha Baron Cohen,Ken Davitian,Luenell,84 mins.,7.3
1317,38,Tom Tykwer,Crime | Drama | Fantasy,Ben Whishaw,Dustin Hoffman,Alan Rickman,147 mins.,7.5
1318,42,Frank Marshall,Adventure | Drama | Family,Paul Walker,Jason Biggs,Bruce Greenwood,120 mins.,7.3
1319,50,Stephen Frears,Biography | Drama,Helen Mirren,Michael Sheen,James Cromwell,103 mins.,7.4
1320,2,Christopher Nolan,Drama | Mystery | Sci-Fi | Thriller,Christian Bale,Hugh Jackman,Scarlett Johansson,130 mins.,8.5
1321,3,Martin Campbell,Action | Adventure | Thriller,Daniel Craig,Eva Green,Judi Dench,144 mins.,8
1322,4,Sylvester Stallone,Drama | Sport,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,102 mins.,7.2
1323,5,Gore Verbinski,Action | Adventure | Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,151 mins.,7.3
1324,8,Zack Snyder,Action | Fantasy | War,Gerard Butler,Lena Headey,David Wenham,117 mins.,7.7
1325,10,John Lasseter,Animation | Adventure | Comedy | Family | Sport,Joe Ranft,Owen Wilson,Bonnie Hunt,117 mins.,7.2
1326,11,Nicholaus Goossen,Comedy,Allen Covert,Linda Cardellini,Shirley Jones,94 mins.,7
1327,13,Jonathan Dayton,Comedy | Drama,Valerie Faris,Steve Carell,Toni Collette,101 mins.,7.9
1328,14,Guillermo del Toro,Drama | Fantasy | War,Ivana Baquero,Ariadna Gil,Sergi López,118 mins.,8.2
1329,15,Mel Gibson,Action | Adventure | Drama | Thriller,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,139 mins.,7.8
1330,16,Florian Henckel von Donnersmarck,Drama | Thriller,Ulrich Mühe,Martina Gedeck,Sebastian Koch,137 mins.,8.5
1331,17,Spike Lee,Crime | Drama | Mystery | Thriller,Denzel Washington,Clive Owen,Jodie Foster,129 mins.,7.6
1332,20,Edward Zwick,Adventure | Drama | Thriller,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,143 mins.,8
1333,25,Alejandro González Iñárritu,Drama,Brad Pitt,Cate Blanchett,Gael García Bernal,143 mins.,7.5
1334,28,Alfonso Cuarón,Drama | Sci-Fi | Thriller,Julianne Moore,Clive Owen,Chiwetel Ejiofor,109 mins.,7.9
1335,29,Neil Burger,Drama | Mystery | Romance | Thriller,Edward Norton,Jessica Biel,Paul Giamatti,110 mins.,7.6
1336,32,Gabriele Muccino,Biography | Drama,Will Smith,Thandie Newton,Jaden Smith,117 mins.,7.9
1337,36,Larry Charles,Comedy,Sacha Baron Cohen,Ken Davitian,Luenell,84 mins.,7.3
1338,37,Tom Tykwer,Crime | Drama | Fantasy,Ben Whishaw,Dustin Hoffman,Alan Rickman,147 mins.,7.5
1339,41,Frank Marshall,Adventure | Drama | Family,Paul Walker,Jason Biggs,Bruce Greenwood,120 mins.,7.3
1340,49,Stephen Frears,Biography | Drama,Helen Mirren,Michael Sheen,James Cromwell,103 mins.,7.4
1341,50,Darren Aronofsky,Drama | Sci-Fi,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,96 mins.,7.3
1342,1,Christopher Nolan,Drama | Mystery | Sci-Fi | Thriller,Christian Bale,Hugh Jackman,Scarlett Johansson,130 mins.,8.5
1343,2,Martin Campbell,Action | Adventure | Thriller,Daniel Craig,Eva Green,Judi Dench,144 mins.,8
1344,3,Sylvester Stallone,Drama | Sport,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,102 mins.,7.2
1345,4,Gore Verbinski,Action | Adventure | Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,151 mins.,7.3
1346,7,Zack Snyder,Action | Fantasy | War,Gerard Butler,Lena Headey,David Wenham,117 mins.,7.7
1347,9,John Lasseter,Animation | Adventure | Comedy | Family | Sport,Joe Ranft,Owen Wilson,Bonnie Hunt,117 mins.,7.2
1348,10,Nicholaus Goossen,Comedy,Allen Covert,Linda Cardellini,Shirley Jones,94 mins.,7
1349,12,Jonathan Dayton,Comedy | Drama,Valerie Faris,Steve Carell,Toni Collette,101 mins.,7.9
1350,13,Guillermo del Toro,Drama | Fantasy | War,Ivana Baquero,Ariadna Gil,Sergi López,118 mins.,8.2
1351,14,Mel Gibson,Action | Adventure | Drama | Thriller,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,139 mins.,7.8
1352,15,Florian Henckel von Donnersmarck,Drama | Thriller,Ulrich Mühe,Martina Gedeck,Sebastian Koch,137 mins.,8.5
1353,16,Spike Lee,Crime | Drama | Mystery | Thriller,Denzel Washington,Clive Owen,Jodie Foster,129 mins.,7.6
1354,19,Edward Zwick,Adventure | Drama | Thriller,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,143 mins.,8
1355,24,Alejandro González Iñárritu,Drama,Brad Pitt,Cate Blanchett,Gael García Bernal,143 mins.,7.5
1356,27,Alfonso Cuarón,Drama | Sci-Fi | Thriller,Julianne Moore,Clive Owen,Chiwetel Ejiofor,109 mins.,7.9
1357,28,Neil Burger,Drama | Mystery | Romance | Thriller,Edward Norton,Jessica Biel,Paul Giamatti,110 mins.,7.6
1358,31,Gabriele Muccino,Biography | Drama,Will Smith,Thandie Newton,Jaden Smith,117 mins.,7.9
1359,35,Larry Charles,Comedy,Sacha Baron Cohen,Ken Davitian,Luenell,84 mins.,7.3
1360,36,Tom Tykwer,Crime | Drama | Fantasy,Ben Whishaw,Dustin Hoffman,Alan Rickman,147 mins.,7.5
1361,40,Frank Marshall,Adventure | Drama | Family,Paul Walker,Jason Biggs,Bruce Greenwood,120 mins.,7.3
1362,48,Stephen Frears,Biography | Drama,Helen Mirren,Michael Sheen,James Cromwell,103 mins.,7.4
1363,49,Darren Aronofsky,Drama | Sci-Fi,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,96 mins.,7.3
1364,50,Ericson Core,Biography | Drama | Sport,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,105 mins.,7.1
1365,1,Martin Campbell,Action | Adventure | Thriller,Daniel Craig,Eva Green,Judi Dench,144 mins.,8
1366,2,Sylvester Stallone,Drama | Sport,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,102 mins.,7.2
1367,3,Gore Verbinski,Action | Adventure | Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,151 mins.,7.3
1368,6,Zack Snyder,Action | Fantasy | War,Gerard Butler,Lena Headey,David Wenham,117 mins.,7.7
1369,8,John Lasseter,Animation | Adventure | Comedy | Family | Sport,Joe Ranft,Owen Wilson,Bonnie Hunt,117 mins.,7.2
1370,9,Nicholaus Goossen,Comedy,Allen Covert,Linda Cardellini,Shirley Jones,94 mins.,7
1371,11,Jonathan Dayton,Comedy | Drama,Valerie Faris,Steve Carell,Toni Collette,101 mins.,7.9
1372,12,Guillermo del Toro,Drama | Fantasy | War,Ivana Baquero,Ariadna Gil,Sergi López,118 mins.,8.2
1373,13,Mel Gibson,Action | Adventure | Drama | Thriller,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,139 mins.,7.8
1374,14,Florian Henckel von Donnersmarck,Drama | Thriller,Ulrich Mühe,Martina Gedeck,Sebastian Koch,137 mins.,8.5
1375,15,Spike Lee,Crime | Drama | Mystery | Thriller,Denzel Washington,Clive Owen,Jodie Foster,129 mins.,7.6
1376,18,Edward Zwick,Adventure | Drama | Thriller,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,143 mins.,8
1377,23,Alejandro González Iñárritu,Drama,Brad Pitt,Cate Blanchett,Gael García Bernal,143 mins.,7.5
1378,26,Alfonso Cuarón,Drama | Sci-Fi | Thriller,Julianne Moore,Clive Owen,Chiwetel Ejiofor,109 mins.,7.9
1379,27,Neil Burger,Drama | Mystery | Romance | Thriller,Edward Norton,Jessica Biel,Paul Giamatti,110 mins.,7.6
1380,30,Gabriele Muccino,Biography | Drama,Will Smith,Thandie Newton,Jaden Smith,117 mins.,7.9
1381,34,Larry Charles,Comedy,Sacha Baron Cohen,Ken Davitian,Luenell,84 mins.,7.3
1382,35,Tom Tykwer,Crime | Drama | Fantasy,Ben Whishaw,Dustin Hoffman,Alan Rickman,147 mins.,7.5
1383,39,Frank Marshall,Adventure | Drama | Family,Paul Walker,Jason Biggs,Bruce Greenwood,120 mins.,7.3
1384,47,Stephen Frears,Biography | Drama,Helen Mirren,Michael Sheen,James Cromwell,103 mins.,7.4
1385,48,Darren Aronofsky,Drama | Sci-Fi,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,96 mins.,7.3
1386,49,Ericson Core,Biography | Drama | Sport,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,105 mins.,7.1
1387,50,Tony Scott,Action | Sci-Fi | Thriller,Denzel Washington,Paula Patton,Jim Caviezel,126 mins.,7
1388,1,Sylvester Stallone,Drama | Sport,Sylvester Stallone,Antonio Tarver,Milo Ventimiglia,102 mins.,7.2
1389,2,Gore Verbinski,Action | Adventure | Fantasy,Johnny Depp,Orlando Bloom,Keira Knightley,151 mins.,7.3
1390,5,Zack Snyder,Action | Fantasy | War,Gerard Butler,Lena Headey,David Wenham,117 mins.,7.7
1391,7,John Lasseter,Animation | Adventure | Comedy | Family | Sport,Joe Ranft,Owen Wilson,Bonnie Hunt,117 mins.,7.2
1392,8,Nicholaus Goossen,Comedy,Allen Covert,Linda Cardellini,Shirley Jones,94 mins.,7
1393,10,Jonathan Dayton,Comedy | Drama,Valerie Faris,Steve Carell,Toni Collette,101 mins.,7.9
1394,11,Guillermo del Toro,Drama | Fantasy | War,Ivana Baquero,Ariadna Gil,Sergi López,118 mins.,8.2
1395,12,Mel Gibson,Action | Adventure | Drama | Thriller,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,139 mins.,7.8
1396,13,Florian Henckel von Donnersmarck,Drama | Thriller,Ulrich Mühe,Martina Gedeck,Sebastian Koch,137 mins.,8.5
1397,14,Spike Lee,Crime | Drama | Mystery | Thriller,Denzel Washington,Clive Owen,Jodie Foster,129 mins.,7.6
1398,17,Edward Zwick,Adventure | Drama | Thriller,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,143 mins.,8
1399,22,Alejandro González Iñárritu,Drama,Brad Pitt,Cate Blanchett,Gael García Bernal,143 mins.,7.5
1400,25,Alfonso Cuarón,Drama | Sci-Fi | Thriller,Julianne Moore,Clive Owen,Chiwetel Ejiofor,109 mins.,7.9
1401,26,Neil Burger,Drama | Mystery | Romance | Thriller,Edward Norton,Jessica Biel,Paul Giamatti,110 mins.,7.6
1402,29,Gabriele Muccino,Biography | Drama,Will Smith,Thandie Newton,Jaden Smith,117 mins.,7.9
1403,33,Larry Charles,Comedy,Sacha Baron Cohen,Ken Davitian,Luenell,84 mins.,7.3
1404,34,Tom Tykwer,Crime | Drama | Fantasy,Ben Whishaw,Dustin Hoffman,Alan Rickman,147 mins.,7.5
1405,38,Frank Marshall,Adventure | Drama | Family,Paul Walker,Jason Biggs,Bruce Greenwood,120 mins.,7.3
1406,46,Stephen Frears,Biography | Drama,Helen Mirren,Michael Sheen,James Cromwell,103 mins.,7.4
1407,47,Darren Aronofsky,Drama | Sci-Fi,Hugh Jackman,Rachel Weisz,Sean Patrick Thomas,96 mins.,7.3
1408,48,Ericson Core,Biography | Drama | Sport,Mark Wahlberg,Greg Kinnear,Elizabeth Banks,105 mins.,7.1
